X,Indicator,Data.Source,PUBLISH.STATES,Year,WHO.region,Country,Sex,Display.Value,Numeric
495,Children aged <5 years underweight (%),NLIS_311359,Published,1994,Americas,Bolivia (Plurinational State of),Male,15.1,15.1
497,Children aged <5 years underweight (%),NLIS_311408,Published,1993,Eastern Mediterranean,Egypt,Female,7.9,7.9
498,Children aged <5 years underweight (%),NLIS_311409,Published,1992,Africa,Malawi,Male,26.3,26.3
500,Children aged <5 years underweight (%),NLIS_311429,Published,1993,Americas,Nicaragua,Female,8.9,8.9
504,Children aged <5 years underweight (%),NLIS_311473,Published,1992,Western Pacific,China,Female,14.6,14.6
505,Children aged <5 years underweight (%),NLIS_311509,Published,1988,Europe,Hungary,Female,1.6,1.6
508,Children aged <5 years underweight (%),NLIS_311539,Published,1995,Eastern Mediterranean,Tunisia,Male,8,8
509,Children aged <5 years underweight (%),NLIS_311547,Published,1995,Americas,Haiti,Male,25.3,25.3
510,Children aged <5 years underweight (%),NLIS_311549,Published,1993,South-East Asia,India,Female,48.8,48.8
512,Children aged <5 years underweight (%),NLIS_311560,Published,1995,Eastern Mediterranean,Oman,Female,6,6
513,Children aged <5 years underweight (%),NLIS_311561,Published,1994,Africa,Côte d'Ivoire,Male,23.7,23.7
519,Children aged <5 years underweight (%),NLIS_311591,Published,1993,Western Pacific,Viet Nam,Female,35.7,35.7
520,Children aged <5 years underweight (%),NLIS_311604,Published,1994,Americas,Jamaica,Male,5.4,5.4
522,Children aged <5 years underweight (%),NLIS_311608,Published,1995,Americas,Colombia,Female,5.5,5.5
525,Children aged <5 years underweight (%),NLIS_311648,Published,1995,Africa,Uganda,Female,19.4,19.4
526,Children aged <5 years underweight (%),NLIS_311651,Published,1995,Africa,Algeria,Male,12.2,12.2
528,Children aged <5 years underweight (%),NLIS_311660,Published,1996,Eastern Mediterranean,Lebanon,Male,3.8,3.8
531,Children aged <5 years underweight (%),NLIS_311665,Published,1996,Eastern Mediterranean,Egypt,Male,11.6,11.6
533,Children aged <5 years underweight (%),NLIS_311674,Published,1995,Europe,Kazakhstan,Female,5.1,5.1
536,Children aged <5 years underweight (%),NLIS_311682,Published,1996,Africa,Mali,Female,37.2,37.2
538,Children aged <5 years underweight (%),NLIS_311706,Published,1996,South-East Asia,Nepal,Male,43.3,43.3
542,Children aged <5 years underweight (%),NLIS_311752,Published,1996,Africa,United Republic of Tanzania,Female,25.3,25.3
543,Children aged <5 years underweight (%),NLIS_311757,Published,1996,Americas,Peru,Male,6.4,6.4
545,Children aged <5 years underweight (%),NLIS_311759,Published,1997,South-East Asia,Bangladesh,Female,53,53
547,Children aged <5 years underweight (%),NLIS_311827,Published,1996,Americas,Dominican Republic,Male,5.3,5.3
551,Children aged <5 years underweight (%),NLIS_311837,Published,1997,Africa,Chad,Female,32.8,32.8
553,Children aged <5 years underweight (%),NLIS_311841,Published,1997,Europe,Kyrgyzstan,Female,5.6,5.6
554,Children aged <5 years underweight (%),NLIS_311853,Published,1997,Africa,Mozambique,Male,30.8,30.8
557,Children aged <5 years underweight (%),NLIS_311865,Published,1998,Europe,Armenia,Female,2.6,2.6
559,Children aged <5 years underweight (%),NLIS_311915,Published,1998,Africa,Niger,Male,46,46
560,Children aged <5 years underweight (%),NLIS_311918,Published,1998,Americas,Nicaragua,Female,9.6,9.6
563,Children aged <5 years underweight (%),NLIS_311931,Published,1994,Eastern Mediterranean,Pakistan,Male,34.2,34.2
567,Children aged <5 years underweight (%),NLIS_311993,Published,1998,Africa,Kenya,Male,20,20
569,Children aged <5 years underweight (%),NLIS_311996,Published,1998,Europe,Turkey,Female,7.1,7.1
571,Children aged <5 years underweight (%),NLIS_311998,Published,1999,Europe,The former Yugoslav Republic of Macedonia,Female,1.6,1.6
572,Children aged <5 years underweight (%),NLIS_311999,Published,1998,South-East Asia,Maldives,Male,53.5,53.5
573,Children aged <5 years underweight (%),NLIS_312017,Published,1999,Western Pacific,Mongolia,Female,10.4,10.4
576,Children aged <5 years underweight (%),NLIS_312045,Published,1995,Americas,Jamaica,Female,2.9,2.9
578,Children aged <5 years underweight (%),NLIS_312082,Published,1999,Americas,Guatemala,Male,22.7,22.7
580,Children aged <5 years underweight (%),NLIS_312086,Published,1996,Western Pacific,Cambodia,Male,47,47
582,Children aged <5 years underweight (%),NLIS_312108,Published,1999,Americas,Mexico,Female,5.3,5.3
584,Children aged <5 years underweight (%),NLIS_312137,Published,1999,Africa,Burkina Faso,Female,32.2,32.2
586,Children aged <5 years underweight (%),NLIS_312181,Published,1999,Europe,Kazakhstan,Female,3.8,3.8
587,Children aged <5 years underweight (%),NLIS_312182,Published,1999,Africa,United Republic of Tanzania,Male,23.8,23.8
589,Children aged <5 years underweight (%),NLIS_312191,Published,2000,Africa,Niger,Female,42.4,42.4
590,Children aged <5 years underweight (%),NLIS_312221,Published,2000,Eastern Mediterranean,Egypt,Female,3.4,3.4
591,Children aged <5 years underweight (%),NLIS_312226,Published,2000,Africa,Algeria,Male,5.3,5.3
592,Children aged <5 years underweight (%),NLIS_312244,Published,2000,Europe,Azerbaijan,Male,13.2,13.2
595,Children aged <5 years underweight (%),NLIS_312282,Published,2000,Americas,Colombia,Male,4.9,4.9
598,Children aged <5 years underweight (%),NLIS_312312,Published,2000,Western Pacific,Cambodia,Female,38.6,38.6
599,Children aged <5 years underweight (%),NLIS_312317,Published,1998,Americas,Jamaica,Male,4.1,4.1
601,Children aged <5 years underweight (%),NLIS_312319,Published,2001,Africa,Mauritania,Female,28.2,28.2
602,Children aged <5 years underweight (%),NLIS_312320,Published,2000,Americas,Peru,Male,5.2,5.2
604,Children aged <5 years underweight (%),NLIS_312328,Published,2000,Africa,Gambia,Female,14.3,14.3
605,Children aged <5 years underweight (%),NLIS_312344,Published,2001,Europe,Armenia,Male,2.9,2.9
607,Children aged <5 years underweight (%),NLIS_312352,Published,2000,Americas,Suriname,Female,10.1,10.1
608,Children aged <5 years underweight (%),NLIS_312353,Published,2000,Africa,Botswana,Male,10.3,10.3
610,Children aged <5 years underweight (%),NLIS_312356,Published,2000,Americas,Dominican Republic,Female,2.9,2.9
611,Children aged <5 years underweight (%),NLIS_312358,Published,2000,Africa,Guinea-Bissau,Male,22.3,22.3
613,Children aged <5 years underweight (%),NLIS_312360,Published,2000,Africa,Burundi,Female,38.9,38.9
614,Children aged <5 years underweight (%),NLIS_312361,Published,2000,Europe,Albania,Male,19.6,19.6
616,Children aged <5 years underweight (%),NLIS_312363,Published,2000,Africa,Comoros,Female,21.9,21.9
617,Children aged <5 years underweight (%),NLIS_312365,Published,2001,Americas,Honduras,Male,13.1,13.1
619,Children aged <5 years underweight (%),NLIS_312367,Published,2000,Africa,Sierra Leone,Female,21.1,21.1
620,Children aged <5 years underweight (%),NLIS_312368,Published,2000,Africa,Senegal,Male,21.5,21.5
623,Children aged <5 years underweight (%),NLIS_312371,Published,1998,South-East Asia,Indonesia,Female,22.8,22.8
624,Children aged <5 years underweight (%),NLIS_312371,Published,2000,South-East Asia,Indonesia,Male,24.7,24.7
629,Children aged <5 years underweight (%),NLIS_312388,Published,2001,Americas,Nicaragua,Female,7.1,7.1
630,Children aged <5 years underweight (%),NLIS_312394,Published,2000,Africa,Sao Tome and Principe,Male,11.5,11.5
632,Children aged <5 years underweight (%),NLIS_312414,Published,2000,Eastern Mediterranean,Iraq,Female,11.9,11.9
634,Children aged <5 years underweight (%),NLIS_312437,Published,2000,Africa,Liberia,Female,17.7,17.7
636,Children aged <5 years underweight (%),NLIS_312471,Published,2002,South-East Asia,Democratic People's Republic of Korea,Female,16.2,16.2
637,Children aged <5 years underweight (%),NLIS_312477,Published,2000,Europe,Romania,Male,4.5,4.5
639,Children aged <5 years underweight (%),NLIS_312481,Published,2006,South-East Asia,Thailand,Male,6.9,6.9
640,Children aged <5 years underweight (%),NLIS_312516,Published,2003,Americas,El Salvador,Male,6.9,6.9
642,Children aged <5 years underweight (%),NLIS_312523,Published,1997,Eastern Mediterranean,Morocco,Female,7.2,7.2
643,Children aged <5 years underweight (%),NLIS_312529,Published,2002,South-East Asia,Timor-Leste,Male,43,43
645,Children aged <5 years underweight (%),NLIS_312535,Published,2001,South-East Asia,Indonesia,Female,20.3,20.3
646,Children aged <5 years underweight (%),NLIS_312535,Published,2002,South-East Asia,Indonesia,Male,25.2,25.2
647,Children aged <5 years underweight (%),NLIS_312536,Published,2000,Western Pacific,Singapore,Male,3.6,3.6
649,Children aged <5 years underweight (%),NLIS_312558,Published,2002,Americas,Guatemala,Male,18,18
651,Children aged <5 years underweight (%),NLIS_312568,Published,2000,Africa,Kenya,Male,19.6,19.6
654,Children aged <5 years underweight (%),NLIS_312588,Published,2001,Eastern Mediterranean,Pakistan,Female,31,31
655,Children aged <5 years underweight (%),NLIS_312590,Published,2003,Africa,Kenya,Male,19.3,19.3
657,Children aged <5 years underweight (%),NLIS_312626,Published,2003,Africa,Burkina Faso,Female,33.5,33.5
658,Children aged <5 years underweight (%),NLIS_312627,Published,2003,Eastern Mediterranean,Egypt,Male,10.2,10.2
660,Children aged <5 years underweight (%),NLIS_312629,Published,2002,Europe,Uzbekistan,Female,6.2,6.2
661,Children aged <5 years underweight (%),NLIS_312640,Published,2002,South-East Asia,Bangladesh,Male,43.1,43.1
663,Children aged <5 years underweight (%),NLIS_312644,Published,2002,Africa,Algeria,Female,9.6,9.6
665,Children aged <5 years underweight (%),NLIS_312654,Published,2000,South-East Asia,Myanmar,Female,28.5,28.5
666,Children aged <5 years underweight (%),NLIS_312661,Published,2003,South-East Asia,Myanmar,Male,31.1,31.1
667,Children aged <5 years underweight (%),NLIS_312666,Published,2004,Americas,Bolivia (Plurinational State of),Female,5.7,5.7
668,Children aged <5 years underweight (%),NLIS_312690,Published,2004,Eastern Mediterranean,Morocco,Male,10.5,10.5
670,Children aged <5 years underweight (%),NLIS_312698,Published,2004,Africa,Cameroon,Female,15,15
671,Children aged <5 years underweight (%),NLIS_312729,Published,2000,Africa,Central African Republic,Male,24.1,24.1
673,Children aged <5 years underweight (%),NLIS_312756,Published,2004,Europe,The former Yugoslav Republic of Macedonia,Female,1.2,1.2
674,Children aged <5 years underweight (%),NLIS_312757,Published,2000,Africa,Equatorial Guinea,Male,16.8,16.8
676,Children aged <5 years underweight (%),NLIS_312759,Published,2005,Africa,Guinea,Female,20.6,20.6
677,Children aged <5 years underweight (%),NLIS_312762,Published,2005,Africa,Ethiopia,Male,36.5,36.5
679,Children aged <5 years underweight (%),NLIS_312764,Published,2002,Europe,Czech Republic,Female,1.6,1.6
681,Children aged <5 years underweight (%),NLIS_312769,Published,2005,Americas,Argentina,Male,2.4,2.4
683,Children aged <5 years underweight (%),NLIS_312771,Published,2005,Americas,Colombia,Female,4.7,4.7
685,Children aged <5 years underweight (%),NLIS_312776,Published,2004,Americas,Jamaica,Male,3.9,3.9
686,Children aged <5 years underweight (%),NLIS_312778,Published,2002,Americas,Uruguay,Female,4.9,4.9
689,Children aged <5 years underweight (%),NLIS_312783,Published,2006,Europe,Uzbekistan,Male,4.6,4.6
690,Children aged <5 years underweight (%),NLIS_312785,Published,2005,Europe,Armenia,Female,5.2,5.2
691,Children aged <5 years underweight (%),NLIS_312788,Published,2005,Europe,Republic of Moldova,Male,3,3
693,Children aged <5 years underweight (%),NLIS_312790,Published,2006,Africa,Zimbabwe,Female,12.9,12.9
694,Children aged <5 years underweight (%),NLIS_312791,Published,2006,South-East Asia,Nepal,Male,37.7,37.7
696,Children aged <5 years underweight (%),NLIS_312793,Published,2006,Africa,Niger,Female,37.5,37.5
697,Children aged <5 years underweight (%),NLIS_312794,Published,2000,South-East Asia,Indonesia,Female,23.8,23.8
698,Children aged <5 years underweight (%),NLIS_312796,Published,2005,South-East Asia,Indonesia,Male,26.9,26.9
700,Children aged <5 years underweight (%),NLIS_312797,Published,2004,South-East Asia,Indonesia,Male,20.7,20.7
702,Children aged <5 years underweight (%),NLIS_312799,Published,2006,South-East Asia,India,Female,43.9,43.9
704,Children aged <5 years underweight (%),NLIS_312824,Published,2005,Europe,Belarus,Male,1.5,1.5
705,Children aged <5 years underweight (%),NLIS_312826,Published,2006,Europe,Bosnia and Herzegovina,Female,1,1
706,Children aged <5 years underweight (%),NLIS_312828,Published,1991,South-East Asia,Bangladesh,Male,63.1,63.1
708,Children aged <5 years underweight (%),NLIS_312832,Published,1993,South-East Asia,Bangladesh,Female,58.9,58.9
709,Children aged <5 years underweight (%),NLIS_312835,Published,1994,South-East Asia,Bangladesh,Male,60.8,60.8
711,Children aged <5 years underweight (%),NLIS_312839,Published,1996,South-East Asia,Bangladesh,Female,56.9,56.9
712,Children aged <5 years underweight (%),NLIS_312849,Published,2004,South-East Asia,Bangladesh,Male,39.9,39.9
714,Children aged <5 years underweight (%),NLIS_312851,Published,2006,Europe,Serbia,Female,1.3,1.3
715,Children aged <5 years underweight (%),NLIS_312852,Published,2006,Eastern Mediterranean,Somalia,Male,34.2,34.2
717,Children aged <5 years underweight (%),NLIS_312854,Published,2006,Africa,Côte d'Ivoire,Female,14.4,14.4
718,Children aged <5 years underweight (%),NLIS_312860,Published,2006,Europe,Kazakhstan,Male,5.4,5.4
719,Children aged <5 years underweight (%),NLIS_312862,Published,2005,Europe,Tajikistan,Female,13.3,13.3
720,Children aged <5 years underweight (%),NLIS_312867,Published,2005,Africa,Sierra Leone,Male,30.7,30.7
723,Children aged <5 years underweight (%),NLIS_312874,Published,2007,Africa,Namibia,Male,18.5,18.5
725,Children aged <5 years underweight (%),NLIS_312878,Published,2006,South-East Asia,Bangladesh,Female,40.4,40.4
727,Children aged <5 years underweight (%),NLIS_312883,Published,2006,Africa,Ghana,Male,15.2,15.2
728,Children aged <5 years underweight (%),NLIS_312885,Published,2006,Africa,Uganda,Female,14.6,14.6
729,Children aged <5 years underweight (%),NLIS_312887,Published,2007,Americas,Guyana,Male,11.4,11.4
731,Children aged <5 years underweight (%),NLIS_312889,Published,2005,Europe,Georgia,Female,1.9,1.9
732,Children aged <5 years underweight (%),NLIS_312890,Published,2006,Africa,Malawi,Male,17.2,17.2
734,Children aged <5 years underweight (%),NLIS_312893,Published,2007,Africa,Zambia,Female,13,13
735,Children aged <5 years underweight (%),NLIS_312895,Published,2007,Africa,Mauritania,Male,23.6,23.6
737,Children aged <5 years underweight (%),NLIS_312898,Published,2002,Eastern Mediterranean,Djibouti,Female,23,23
738,Children aged <5 years underweight (%),NLIS_312902,Published,2005,Americas,Nicaragua,Male,5.3,5.3
740,Children aged <5 years underweight (%),NLIS_312910,Published,2007,Americas,Jamaica,Female,1.7,1.7
741,Children aged <5 years underweight (%),NLIS_312913,Published,2004,Eastern Mediterranean,Lebanon,Male,5.4,5.4
743,Children aged <5 years underweight (%),NLIS_312916,Published,2007,South-East Asia,Indonesia,Female,18.6,18.6
744,Children aged <5 years underweight (%),NLIS_312917,Published,2009,Americas,Guatemala,Male,13.9,13.9
746,Children aged <5 years underweight (%),NLIS_312919,Published,2007,Americas,Dominican Republic,Female,3.7,3.7
747,Children aged <5 years underweight (%),NLIS_312921,Published,2006,Western Pacific,Lao People's Democratic Republic,Male,32.5,32.5
749,Children aged <5 years underweight (%),NLIS_312923,Published,2007,Eastern Mediterranean,Libya,Female,4.8,4.8
751,Children aged <5 years underweight (%),NLIS_312932,Published,2005,Americas,Peru,Male,6,6
752,Children aged <5 years underweight (%),NLIS_312939,Published,2006,Europe,Germany,Female,1.3,1.3
754,Children aged <5 years underweight (%),NLIS_312946,Published,2009,Africa,Sao Tome and Principe,Female,12.3,12.3
756,Children aged <5 years underweight (%),NLIS_312948,Published,2008,Americas,Bolivia (Plurinational State of),Female,4,4
757,Children aged <5 years underweight (%),NLIS_312950,Published,2006,Eastern Mediterranean,Djibouti,Male,32.1,32.1
758,Children aged <5 years underweight (%),NLIS_312951,Published,2000,Western Pacific,Viet Nam,Female,27.6,27.6
759,Children aged <5 years underweight (%),NLIS_312951,Published,2002,Western Pacific,Viet Nam,Male,23.9,23.9
760,Children aged <5 years underweight (%),NLIS_312951,Published,2004,Western Pacific,Viet Nam,Female,23.5,23.5
761,Children aged <5 years underweight (%),NLIS_312951,Published,2005,Western Pacific,Viet Nam,Male,22.9,22.9
762,Children aged <5 years underweight (%),NLIS_312951,Published,2007,Western Pacific,Viet Nam,Female,22,22
763,Children aged <5 years underweight (%),NLIS_312951,Published,2008,Western Pacific,Viet Nam,Male,20.5,20.5
764,Children aged <5 years underweight (%),NLIS_312954,Published,2008,Africa,Guinea,Male,21.9,21.9
766,Children aged <5 years underweight (%),NLIS_312955,Published,2008,Africa,Guinea-Bissau,Male,16.2,16.2
767,Children aged <5 years underweight (%),NLIS_312963,Published,2008,Africa,Ghana,Female,12.9,12.9
768,Children aged <5 years underweight (%),NLIS_312965,Published,2005,Africa,Algeria,Male,3.7,3.7
770,Children aged <5 years underweight (%),NLIS_312971,Published,2008,Africa,Sierra Leone,Female,18.5,18.5
771,Children aged <5 years underweight (%),NLIS_312981,Published,1997,Africa,Equatorial Guinea,Male,15.4,15.4
773,Children aged <5 years underweight (%),NLIS_313003,Published,1990,Western Pacific,China,Female,12.1,12.1
774,Children aged <5 years underweight (%),NLIS_313005,Published,1998,Western Pacific,China,Male,7.2,7.2
776,Children aged <5 years underweight (%),NLIS_313007,Published,2005,Western Pacific,China,Female,4.2,4.2
777,Children aged <5 years underweight (%),NLIS_313010,Published,2002,Eastern Mediterranean,Kuwait,Female,1.5,1.5
778,Children aged <5 years underweight (%),NLIS_313010,Published,2003,Eastern Mediterranean,Kuwait,Male,2.8,2.8
780,Children aged <5 years underweight (%),NLIS_313010,Published,2005,Eastern Mediterranean,Kuwait,Female,2.4,2.4
781,Children aged <5 years underweight (%),NLIS_313020,Published,2009,Africa,Kenya,Male,17.3,17.3
783,Children aged <5 years underweight (%),NLIS_313039,Published,2009,Africa,Burkina Faso,Female,24.7,24.7
784,Children aged <5 years underweight (%),NLIS_313040,Published,2006,Americas,Suriname,Female,7,7
785,Children aged <5 years underweight (%),NLIS_313042,Published,2009,Eastern Mediterranean,Jordan,Male,1.6,1.6
786,Children aged <5 years underweight (%),NLIS_313048,Published,2006,Eastern Mediterranean,Kuwait,Male,2.1,2.1
788,Children aged <5 years underweight (%),NLIS_313048,Published,2009,Eastern Mediterranean,Kuwait,Male,2,2
790,Children aged <5 years underweight (%),NLIS_313054,Published,2007,Africa,Côte d'Ivoire,Female,28.4,28.4
791,Children aged <5 years underweight (%),NLIS_313055,Published,2009,Eastern Mediterranean,Oman,Male,8.9,8.9
793,Children aged <5 years underweight (%),NLIS_313063,Published,2009,South-East Asia,Maldives,Female,17.2,17.2
795,Children aged <5 years underweight (%),NLIS_313066,Published,2010,South-East Asia,Timor-Leste,Female,43.7,43.7
796,Children aged <5 years underweight (%),NLIS_313068,Published,2009,Eastern Mediterranean,Syrian Arab Republic,Male,11.5,11.5
798,Children aged <5 years underweight (%),NLIS_313071,Published,2007,Americas,Nicaragua,Female,5.9,5.9
801,Children aged <5 years underweight (%),NLIS_313076,Published,2010,Africa,United Republic of Tanzania,Male,17.8,17.8
803,Children aged <5 years underweight (%),NLIS_313082,Published,2009,Europe,Georgia,Male,1.3,1.3
805,Children aged <5 years underweight (%),NLIS_313083,Published,2006,Western Pacific,Malaysia,Male,13.2,13.2
808,Children aged <5 years underweight (%),NLIS_313086,Published,2007,Africa,Angola,Female,14.6,14.6
809,Children aged <5 years underweight (%),NLIS_313092,Published,2008,Africa,Botswana,Female,10.2,10.2
812,Children aged <5 years underweight (%),NLIS_313099,Published,2009,Africa,Malawi,Male,12.9,12.9
814,Children aged <5 years underweight (%),NLIS_313112,Published,2008,Americas,Panama,Female,5.2,5.2
815,Children aged <5 years underweight (%),NLIS_313113,Published,2011,Eastern Mediterranean,Pakistan,Female,30.4,30.4
816,Children aged <5 years underweight (%),NLIS_313115,Published,2011,Eastern Mediterranean,Morocco,Male,3.1,3.1
818,Children aged <5 years underweight (%),NLIS_313117,Published,2010,Europe,Armenia,Female,5.9,5.9
819,Children aged <5 years underweight (%),NLIS_313118,Published,2011,Africa,Senegal,Male,19.7,19.7
821,Children aged <5 years underweight (%),NLIS_313122,Published,2006,Africa,Central African Republic,Male,30.6,30.6
823,Children aged <5 years underweight (%),NLIS_313124,Published,2010,South-East Asia,Indonesia,Female,15.7,15.7
824,Children aged <5 years underweight (%),NLIS_313126,Published,2012,Eastern Mediterranean,Djibouti,Male,31.2,31.2
826,Children aged <5 years underweight (%),NLIS_313127,Published,2003,Americas,Uruguay,Female,4.9,4.9
827,Children aged <5 years underweight (%),NLIS_313127,Published,2011,Americas,Uruguay,Male,4.8,4.8
831,Children aged <5 years underweight (%),NLIS_313131,Published,2011,Africa,Uganda,Male,15.4,15.4
833,Children aged <5 years underweight (%),NLIS_313134,Published,2010,Africa,Sierra Leone,Female,19.6,19.6
834,Children aged <5 years underweight (%),NLIS_313136,Published,2010,Africa,Burkina Faso,Male,27.7,27.7
836,Children aged <5 years underweight (%),NLIS_313141,Published,2012,Africa,Senegal,Male,15.5,15.5
837,Children aged <5 years underweight (%),NLIS_313143,Published,2011,Western Pacific,Philippines,Female,20.3,20.3
838,Children aged <5 years underweight (%),NLIS_313144,Published,2010,Eastern Mediterranean,Kuwait,Male,1.9,1.9
840,Children aged <5 years underweight (%),NLIS_313145,Published,2010,Africa,Swaziland,Female,5,5
841,Children aged <5 years underweight (%),NLIS_313146,Published,2011,Africa,Mozambique,Male,17.5,17.5
843,Children aged <5 years underweight (%),NLIS_313148,Published,2010,Africa,Togo,Female,14.4,14.4
844,Children aged <5 years underweight (%),NLIS_313150,Published,2006,Eastern Mediterranean,South Sudan,Male,35.9,35.9
846,Children aged <5 years underweight (%),NLIS_313152,Published,2010,Americas,Suriname,Female,5.4,5.4
847,Children aged <5 years underweight (%),NLIS_313153,Published,2004,Western Pacific,Fiji,Male,4.9,4.9
849,Children aged <5 years underweight (%),NLIS_313155,Published,2010,Europe,Serbia,Female,1.7,1.7
850,Children aged <5 years underweight (%),NLIS_313157,Published,2011,Africa,Nigeria,Male,24.6,24.6
855,Children aged <5 years underweight (%),NLIS_310189,Published,1972,Americas,Canada,Female,1.7,1.7
864,Children aged <5 years underweight (%),NLIS_310232,Published,1989,Americas,Bolivia (Plurinational State of),Male,10.4,10.4
865,Children aged <5 years underweight (%),NLIS_310233,Published,1990,Americas,Paraguay,Female,3.4,3.4
867,Children aged <5 years underweight (%),NLIS_310272,Published,1988,Eastern Mediterranean,Egypt,Male,11.7,11.7
868,Children aged <5 years underweight (%),NLIS_310272,Published,1988,Eastern Mediterranean,Egypt,Female,11.6,11.6
870,Children aged <5 years underweight (%),NLIS_310320,Published,1970,Western Pacific,Solomon Islands,Male,19.5,19.5
871,Children aged <5 years underweight (%),NLIS_310320,Published,1970,Western Pacific,Solomon Islands,Female,15.5,15.5
875,Children aged <5 years underweight (%),NLIS_310364,Published,1990,Eastern Mediterranean,Jordan,Male,5.2,5.2
876,Children aged <5 years underweight (%),NLIS_310364,Published,1990,Eastern Mediterranean,Jordan,Female,4.4,4.4
878,Children aged <5 years underweight (%),NLIS_310377,Published,1990,Africa,Nigeria,Male,37,37
879,Children aged <5 years underweight (%),NLIS_310377,Published,1990,Africa,Nigeria,Female,33.3,33.3
884,Children aged <5 years underweight (%),NLIS_310442,Published,1991,Eastern Mediterranean,Egypt,Female,9,9
886,Children aged <5 years underweight (%),NLIS_310471,Published,1992,Africa,Namibia,Female,19.7,19.7
890,Children aged <5 years underweight (%),NLIS_310702,Published,1988,Eastern Mediterranean,Tunisia,Male,9.3,9.3
891,Children aged <5 years underweight (%),NLIS_310702,Published,1988,Eastern Mediterranean,Tunisia,Female,7.7,7.7
893,Children aged <5 years underweight (%),NLIS_310904,Published,1980,Europe,Netherlands,Male,2.2,2.2
894,Children aged <5 years underweight (%),NLIS_310967,Published,1992,Africa,Rwanda,Female,23.2,23.2
897,Children aged <5 years underweight (%),NLIS_311056,Published,1988,Americas,El Salvador,Male,11.6,11.6
898,Children aged <5 years underweight (%),NLIS_311056,Published,1988,Americas,El Salvador,Female,10.7,10.7
901,Children aged <5 years underweight (%),NLIS_311293,Published,1993,Americas,El Salvador,Male,8.2,8.2
902,Children aged <5 years underweight (%),NLIS_311293,Published,1993,Americas,El Salvador,Female,6.1,6.1
905,Children aged <5 years underweight (%),NLIS_311409,Published,1992,Africa,Malawi,Female,22.4,22.4
909,Children aged <5 years underweight (%),NLIS_311509,Published,1988,Europe,Hungary,Male,2.9,2.9
914,Children aged <5 years underweight (%),NLIS_311563,Published,1995,Africa,Central African Republic,Male,25.2,25.2
915,Children aged <5 years underweight (%),NLIS_311563,Published,1995,Africa,Central African Republic,Female,21.3,21.3
917,Children aged <5 years underweight (%),NLIS_311569,Published,1994,South-East Asia,Maldives,Male,33.2,33.2
918,Children aged <5 years underweight (%),NLIS_311569,Published,1994,South-East Asia,Maldives,Female,31.9,31.9
921,Children aged <5 years underweight (%),NLIS_311604,Published,1994,Americas,Jamaica,Female,3.5,3.5
923,Children aged <5 years underweight (%),NLIS_311609,Published,1989,Western Pacific,Solomon Islands,Male,18.1,18.1
924,Children aged <5 years underweight (%),NLIS_311609,Published,1989,Western Pacific,Solomon Islands,Female,14.2,14.2
928,Children aged <5 years underweight (%),NLIS_311672,Published,1995,Americas,Guatemala,Male,22.3,22.3
929,Children aged <5 years underweight (%),NLIS_311672,Published,1995,Americas,Guatemala,Female,21.1,21.1
931,Children aged <5 years underweight (%),NLIS_311680,Published,1996,Americas,Brazil,Male,4.8,4.8
933,Children aged <5 years underweight (%),NLIS_311705,Published,1996,Africa,Comoros,Male,25.7,25.7
934,Children aged <5 years underweight (%),NLIS_311705,Published,1996,Africa,Comoros,Female,18.6,18.6
936,Children aged <5 years underweight (%),NLIS_311756,Published,1997,Africa,Zambia,Male,21.1,21.1
937,Children aged <5 years underweight (%),NLIS_311756,Published,1997,Africa,Zambia,Female,18.2,18.2
938,Children aged <5 years underweight (%),NLIS_311766,Published,1994,Americas,United States of America,Male,0.6,0.6
939,Children aged <5 years underweight (%),NLIS_311766,Published,1994,Americas,United States of America,Female,1.2,1.2
943,Children aged <5 years underweight (%),NLIS_311828,Published,1995,South-East Asia,Indonesia,Male,29.5,29.5
944,Children aged <5 years underweight (%),NLIS_311828,Published,1995,South-East Asia,Indonesia,Female,25.2,25.2
946,Children aged <5 years underweight (%),NLIS_311853,Published,1997,Africa,Mozambique,Female,25.3,25.3
951,Children aged <5 years underweight (%),NLIS_311911,Published,1998,Americas,Bolivia (Plurinational State of),Male,6,6
952,Children aged <5 years underweight (%),NLIS_311911,Published,1998,Americas,Bolivia (Plurinational State of),Female,5.8,5.8
954,Children aged <5 years underweight (%),NLIS_311927,Published,1997,Eastern Mediterranean,Jordan,Male,3.9,3.9
955,Children aged <5 years underweight (%),NLIS_311928,Published,1998,Africa,Cameroon,Female,15.7,15.7
957,Children aged <5 years underweight (%),NLIS_311935,Published,1998,South-East Asia,Bangladesh,Male,53.7,53.7
958,Children aged <5 years underweight (%),NLIS_311935,Published,1998,South-East Asia,Bangladesh,Female,52.8,52.8
961,Children aged <5 years underweight (%),NLIS_311998,Published,1999,Europe,The former Yugoslav Republic of Macedonia,Male,2.1,2.1
962,Children aged <5 years underweight (%),NLIS_311999,Published,1998,South-East Asia,Maldives,Female,31.2,31.2
964,Children aged <5 years underweight (%),NLIS_312015,Published,1999,South-East Asia,Bhutan,Male,16.7,16.7
965,Children aged <5 years underweight (%),NLIS_312015,Published,1999,South-East Asia,Bhutan,Female,11.5,11.5
968,Children aged <5 years underweight (%),NLIS_312046,Published,1996,Americas,Jamaica,Male,6.7,6.7
969,Children aged <5 years underweight (%),NLIS_312046,Published,1996,Americas,Jamaica,Female,4.5,4.5
